,name,followers,degree_centrality,category,geodata,location,phone,email,webpage,twitter,description,Unnamed: 11,geoloc,point,latitude,longitude,altitude
0,acat france,19959,55.90756302521008,human rights democracy and governance,,7 rue georges lardennois 75019 paris france,  01 40 40 42 4301 40 40 42 43  , acat@acatfrance.fr  ,http://www.acatfrance.fr,,action des chrétiens pour l’abolition de la torture l’acat est une ong chrétienne de défens...,,"7, Rue Georges Lardennois, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.878173, 2.3758446, 0.0)",48.878173,2.3758446,0.0
1,acted,54085,151.49859943977592,humanitarian ,,33 rue godot de mauroy 75009 paris  france,  01 42 65 33 3301 42 65 33 33  , paris@acted.org ,http://www.acted.org/fr/,,acted est une ong française de solidarité internationale. deuxième ong française acted a pour vo...,,"33, Rue Godot de Mauroy, Quartier de la Chaussée-d'Antin, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France","(48.8721554, 2.327303, 0.0)",48.8721554,2.327303,0.0
2,ader ried,197,0.5518207282913166,humanitarian ,,10 rue cambacérès 75008 paris france,  00 33 01 85 09 06 89 , info@ader-ried.org ,http://www.ader-ried.org,,l’ader-ried est une association de solidarité internationale qui résulte de la fusion entre ader ...,,"10, Rue Cambacérès, Quartier de la Madeleine, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France","(48.8726689, 2.3180993, 0.0)",48.8726689,2.3180993,0.0
3,aide et action,25666,71.89355742296918,education,,53 boulevard de charonne 75545 paris france,  01 55 25 70 0001 55 25 70 00   , isabelle.boustouler@aide-et-action.org   ,http://www.france.aide-et-action.org/,,créée en 1981 aide et action est une association de solidarité internationale spécialiste de l’é...,,"53, Boulevard de Charonne, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France","(48.8526445, 2.3970988, 0.0)",48.8526445,2.3970988,0.0
4,ainaworld aina,1344,3.764705882352941,human rights democracy and governance,,122 rue haxo  75019 paris france,  01 42 03 64 2401 42 03 64 24  , communication@ainaworld.org ,http://www.ainaworld.org,,fondée en 2001 par le photojournaliste reza l’ong aïna forme les populations aux métiers de l’in...,,"122, Rue Haxo, Quartier Saint-Fargeau, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France","(48.8768408, 2.4022703, 0.0)",48.8768408,2.4022703,0.0
5,amnesty international,622279,1743.078431372549,human rights democracy and governance,,76 boulevard de la villette paris france,  01 53 38 65 6501 53 38 65 65 , accueil@amnesty.fr ,https://www.amnesty.fr/,,amnesty international est un mouvement de plus de 7 millions de personnes qui se battent chaque j...,,"76, Boulevard de la Villette, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8757911, 2.3731573, 0.0)",48.8757911,2.3731573,0.0
6,association des jeunes guinéens de france,30618,85.76470588235294,economic recovery and development,,50 rue des tournelles 75003 paris france,  07 61 28 99 9507 61 28 99 95  , ajgf_info@yahoo.fr  ,http://www.facebook.com/pages/AJGF-Association-...,,les actions de l’ajgf sont centrées autour de plusieurs objectifs: – renforcer la solidarité et l...,,"Radio Campus Paris, 50, Rue des Tournelles, Quartier des Archives, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France","(48.8562253, 2.3674121, 0.0)",48.8562253,2.3674121,0.0
7,association pour la diffusion internationale francophone de livres ouvrages et revues adiflor,1063,2.977591036414566,education,,94 boulevard pereire  75017 paris france,  01 40 54 78 0501 40 54 78 05  , contact@adiflor.org ,http://www.adiflor.org,,adiflor s’est fixée plusieurs missions : encourager faire vivre la lecture en français partout d...,,"94, Boulevard Pereire, Quartier de la Plaine-de-Monceau, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France","(48.8867618, 2.2995052, 0.0)",48.8867618,2.2995052,0.0
8,autremonde,2324,6.509803921568627,protection,,30 rue de la mare  75020 paris france,  01 43 14 96 8701 43 14 96 87  ,contact@autremonde.org  ,http://www.autremonde.org,,créée en 1994 association basée à paris autremonde est constituée d’acteurs désireux d’agir dan...,,"30, Rue de la Mare, Quartier de Belleville, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France","(48.8705127, 2.3894915, 0.0)",48.8705127,2.3894915,0.0
9,care france,67684,189.59103641456582,humanitarian ,,71 rue archereau 75019 paris france,  01 53 19 89 8901 53 19 89 89  ,info-care@carefrance.org  ,http://www.carefrance.org,,care est une association de solidarité internationale non confessionnelle et apolitique qui reg...,,"71, Rue Archereau, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8932631, 2.3763735, 0.0)",48.8932631,2.3763735,0.0
